Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Bam Adebayo;C;25;MIA;23;23;37;7.3;15.1;0.481;0;0.1;0;7.3;15;0.485;0.481;3.4;4.1;0.821;2.7;7.1;9.9;3.7;0.9;0.7;2.7;3.1;17.9
2;Santi Aldama;PF;22;MEM;6;0;16.8;2.5;5.5;0.455;1.2;2.5;0.467;1.3;3;0.444;0.561;0.3;0.3;1;1.2;3.2;4.3;1.2;0.5;0;0.3;0.8;6.5
3;Nickeil Alexander-Walker;SG;24;MIN;5;4;29.6;3;7;0.429;2;5;0.4;1;2;0.5;0.571;0.4;0.6;0.667;0.2;1.8;2;1.4;0.6;0.2;0.8;1.8;8.4
4;Grayson Allen;SG;27;MIL;5;5;29.8;3.8;8.2;0.463;2.8;5.8;0.483;1;2.4;0.417;0.634;1.2;1.4;0.857;0.2;2.2;2.4;1.8;0.4;0;0.8;1.4;11.6
5;Jarrett Allen;C;24;CLE;5;5;38.2;4.4;7.2;0.611;0;0;0;4.4;7.2;0.611;0.611;0.6;1.2;0.5;3;4.4;7.4;2.4;0.8;1;0.6;2;9.4
6;Kyle Anderson;PF;29;MIN;4;0;26;3.8;7.5;0.5;0.5;1.5;0.333;3.3;6;0.542;0.533;0.5;0.5;1;0.8;3.3;4;4.5;1.8;0.5;1.5;3.3;8.5
7;Giannis Antetokounmpo;PF;28;MIL;3;3;30.3;9.3;17.7;0.528;0;1;0;9.3;16.7;0.56;0.528;4.7;10.3;0.452;2.7;8.3;11;5.3;0.3;0.7;4.7;3;23.3
8;Thanasis Antetokounmpo;PF;30;MIL;2;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Deandre Ayton;C;24;PHO;10;10;31.9;6.1;11.1;0.55;0;0;0;6.1;11.1;0.55;0.55;1.2;2.3;0.522;2.9;6.8;9.7;1;0.6;0.7;1.7;3.5;13.4
10;Patrick Baldwin Jr.;SF;20;GSW;3;0;3.7;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0.3;0;0;0;0;0
11;Mo Bamba;C;24;LAL;3;0;3.3;0;0.7;0;0;0.3;0;0;0.3;0;0;0;0;0;0;1;1;0.3;0;0.3;0;0;0
12;Desmond Bane;SG;24;MEM;6;6;38.5;8.2;19.3;0.422;2.7;8.3;0.32;5.5;11;0.5;0.491;4.5;4.8;0.931;1.2;4.8;6;3.2;0.5;0;2.8;3.2;23.5
13;Harrison Barnes;PF;30;SAC;7;7;28;3.6;8.6;0.417;0.9;3.6;0.24;2.7;5;0.543;0.467;2.7;3.7;0.731;1.4;2;3.4;0.7;1.1;0.3;0.4;0.7;10.7
14;RJ Barrett;SG;22;NYK;11;11;34.3;6.5;14.9;0.433;1.8;5.5;0.328;4.6;9.4;0.495;0.494;4.5;5.9;0.769;0.5;4;4.5;2.8;0.8;0.2;2.3;2.3;19.3
15;Nicolas Batum;PF;34;LAC;5;3;18.4;1.6;3.8;0.421;1.2;3.4;0.353;0.4;0.4;1;0.579;0;0;0;0.2;2;2.2;1.2;0.4;0.4;0.4;2;4.4
16;Malik Beasley;SG;26;LAL;11;0;8.3;0.9;3.1;0.294;0.6;2.4;0.269;0.3;0.7;0.375;0.397;0.5;0.5;1;0.3;0.5;0.7;0.2;0.1;0;0.2;0.5;3
17;MarJon Beauchamp;SF;22;MIL;2;0;2.5;1;1.5;0.667;0.5;0.5;1;0.5;1;0.5;0.833;0;0;0;0;0.5;0.5;0;0;0;0;0;2.5
18;Saddiq Bey;SF;23;ATL;6;0;22.2;2.5;6.7;0.375;1.2;3;0.389;1.3;3.7;0.364;0.463;1.3;1.5;0.889;1.2;2.8;4;1;0.5;0;0.3;0.5;7.5
19;Bismack Biyombo;C;30;PHO;8;0;9.8;1.1;2;0.563;0;0;0;1.1;2;0.563;0.563;1.1;2.3;0.5;1.3;2.1;3.4;0.8;0;1.3;0.8;2.3;3.4
